	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
10.country_id					-1.282***				-0.795***
					(0.0510)				(0.0307)
13.country_id					-0.262***				-0.156***
					(0.0537)				(0.0323)
15.country_id					-1.914***				-1.184***
					(0.0863)				(0.0513)
17.country_id					-1.423***				-0.883***
					(0.0523)				(0.0316)
19.country_id					-1.188***				-0.738***
					(0.0536)				(0.0323)
22.country_id					-0.847***				-0.523***
					(0.0561)				(0.0338)
24.country_id					-0.148**				-0.0860*
					(0.0718)				(0.0439)
25.country_id					-1.107***				-0.685***
					(0.0550)				(0.0333)
28.country_id					-0.893***				-0.551***
					(0.0558)				(0.0338)
29.country_id					-0.805***				-0.496***
					(0.0535)				(0.0323)
30.country_id					-1.867***				-1.140***
					(0.0816)				(0.0483)
33.country_id					-0.854***				-0.527***
					(0.0566)				(0.0343)
34.country_id					-1.603***				-0.994***
					(0.0529)				(0.0319)
36.country_id					0.616***				0.372***
					(0.0787)				(0.0428)
38.country_id					-0.762***				-0.468***
					(0.0608)				(0.0370)
39.country_id					-1.133***				-0.703***
					(0.0516)				(0.0311)
40.country_id					-0.857***				-0.528***
					(0.0563)				(0.0341)
41.country_id					-0.760***				-0.465***
					(0.0690)				(0.0419)
42.country_id					-0.813***				-0.501***
					(0.0512)				(0.0308)
45.country_id					-1.298***				-0.805***
					(0.0512)				(0.0308)
46.country_id					-1.476***				-0.915***
					(0.0579)				(0.0351)
48.country_id					-1.105***				-0.683***
					(0.0641)				(0.0392)
49.country_id					-0.963***				-0.595***
					(0.0518)				(0.0313)
50.country_id					-0.650***				-0.399***
					(0.0721)				(0.0443)
52.country_id					-1.519***				-0.943***
					(0.0524)				(0.0316)
55.country_id					-1.022***				-0.630***
					(0.0751)				(0.0461)
56.country_id					-0.680***				-0.420***
					(0.0838)				(0.0510)
57.country_id					-0.496***				-0.301***
					(0.0567)				(0.0343)
60.country_id					-1.214***				-0.753***
					(0.0539)				(0.0326)
61.country_id					-1.508***				-0.933***
					(0.0813)				(0.0489)
63.country_id					-1.202***				-0.745***
					(0.0599)				(0.0365)
64.country_id					-1.322***				-0.820***
					(0.0535)				(0.0323)
65.country_id					-1.396***				-0.866***
					(0.0527)				(0.0318)
66.country_id					-0.328***				-0.198***
					(0.0603)				(0.0366)
69.country_id					-1.489***				-0.924***
					(0.0516)				(0.0311)
71.country_id					-1.033***				-0.638***
					(0.0568)				(0.0345)
73.country_id					-0.957***				-0.591***
					(0.0520)				(0.0314)
78.country_id					-1.240***				-0.769***
					(0.0524)				(0.0317)
79.country_id					-1.269***				-0.787***
					(0.0525)				(0.0317)
80.country_id					-1.378***				-0.853***
					(0.0629)				(0.0384)
81.country_id					-1.209***				-0.748***
					(0.0638)				(0.0389)
82.country_id					-0.687***				-0.422***
					(0.0520)				(0.0314)
83.country_id					-0.199***				-0.118***
					(0.0588)				(0.0356)
84.country_id					0.440***				0.238***
					(0.121)				(0.0675)
85.country_id					-0.824***				-0.509***
					(0.0750)				(0.0456)
86.country_id					-1.188***				-0.736***
					(0.0519)				(0.0313)
87.country_id					-1.067***				-0.660***
					(0.0527)				(0.0318)
88.country_id					-1.015***				-0.628***
					(0.0597)				(0.0363)
89.country_id					-1.175***				-0.729***
					(0.0507)				(0.0305)
90.country_id					-0.780***				-0.480***
					(0.0540)				(0.0326)
91.country_id					-0.715***				-0.440***
					(0.0652)				(0.0401)
92.country_id					-1.137***				-0.703***
					(0.0580)				(0.0350)
93.country_id					-0.0473				-0.0302
					(0.0635)				(0.0384)
94.country_id					-1.251***				-0.768***
					(0.0824)				(0.0491)
95.country_id					-0.431***				-0.262***
					(0.0639)				(0.0387)
96.country_id					-0.944***				-0.583***
					(0.0602)				(0.0367)
98.country_id					-1.334***				-0.828***
					(0.0627)				(0.0382)
100.country_id					-0.939***				-0.580***
					(0.0547)				(0.0331)
101.country_id					-1.236***				-0.765***
					(0.0537)				(0.0324)
104.country_id					-0.374***				-0.225***
					(0.0577)				(0.0349)
107.country_id					-1.034***				-0.640***
					(0.0521)				(0.0314)
108.country_id					-0.717***				-0.443***
					(0.0686)				(0.0416)
109.country_id					-0.878***				-0.541***
					(0.0584)				(0.0356)
110.country_id					-0.428***				-0.259***
					(0.0521)				(0.0314)
111.country_id					-0.399***				-0.242***
					(0.0579)				(0.0350)
114.country_id					-0.866***				-0.534***
					(0.0507)				(0.0305)
115.country_id					-0.629***				-0.386***
					(0.0888)				(0.0550)
117.country_id					-1.238***				-0.767***
					(0.0577)				(0.0351)
119.country_id					-1.459***				-0.905***
					(0.0532)				(0.0321)
120.country_id					-1.114***				-0.690***
					(0.0526)				(0.0318)
121.country_id					-1.094***				-0.678***
					(0.0505)				(0.0304)
122.country_id					-1.004***				-0.620***
					(0.0854)				(0.0526)
123.country_id					-1.269***				-0.768***
					(0.0965)				(0.0533)
125.country_id					-1.025***				-0.633***
					(0.0553)				(0.0334)
128.country_id					-0.490***				-0.301***
					(0.0705)				(0.0429)
129.country_id					-0.722***				-0.444***
					(0.0523)				(0.0316)
130.country_id					-1.084***				-0.653***
					(0.129)				(0.0784)
131.country_id					-0.606***				-0.372***
					(0.0631)				(0.0385)
132.country_id					-1.277***				-0.792***
					(0.0533)				(0.0322)
133.country_id					-1.438***				-0.892***
					(0.0567)				(0.0344)
134.country_id					0.253***				0.139***
					(0.0825)				(0.0501)
135.country_id					-0.960***				-0.595***
					(0.0511)				(0.0308)
136.country_id					-1.210***				-0.748***
					(0.0693)				(0.0427)
137.country_id					-0.817***				-0.503***
					(0.0581)				(0.0353)
138.country_id					-1.075***				-0.666***
					(0.0614)				(0.0374)
139.country_id					-1.763***				-1.085***
					(0.0716)				(0.0428)
143.country_id					0.0114				0.00646
					(0.0784)				(0.0464)
144.country_id					-0.860***				-0.530***
					(0.0531)				(0.0320)
145.country_id					-1.481***				-0.919***
					(0.0591)				(0.0360)
147.country_id					-1.018***				-0.631***
					(0.0512)				(0.0308)
148.country_id					-0.636***				-0.389***
					(0.0549)				(0.0332)
150.country_id					-1.021***				-0.632***
					(0.0522)				(0.0315)
151.country_id					-1.522***				-0.945***
					(0.0513)				(0.0309)
152.country_id					-1.123***				-0.695***
					(0.0519)				(0.0313)
153.country_id					-1.379***				-0.855***
					(0.0578)				(0.0351)
154.country_id					-0.475***				-0.288***
					(0.0512)				(0.0309)
157.country_id					-1.871***				-1.130***
					(0.141)				(0.0739)
159.country_id					-1.087***				-0.674***
					(0.0523)				(0.0315)
160.country_id					-1.707***				-1.058***
					(0.0533)				(0.0321)
162.country_id					-1.814***				-1.124***
					(0.0612)				(0.0370)
163.country_id					-0.487***				-0.298***
					(0.0656)				(0.0401)
164.country_id					-1.534***				-0.953***
					(0.0508)				(0.0306)
165.country_id					-2.059***				-1.263***
					(0.0595)				(0.0360)
166.country_id					-0.836***				-0.517***
					(0.0763)				(0.0468)
167.country_id					-0.917***				-0.566***
					(0.0509)				(0.0306)
168.country_id					-0.607***				-0.370***
					(0.0569)				(0.0345)
171.country_id					-0.680***				-0.418***
					(0.0653)				(0.0401)
173.country_id					-0.791***				-0.488***
					(0.122)				(0.0769)
175.country_id					-1.242***				-0.769***
					(0.0566)				(0.0343)
176.country_id					-1.279***				-0.793***
					(0.0536)				(0.0324)
177.country_id					-0.905***				-0.559***
					(0.0770)				(0.0475)
179.country_id					-0.572***				-0.349***
					(0.0594)				(0.0362)
182.country_id					-0.365***				-0.223***
					(0.0861)				(0.0521)
183.country_id					-1.266***				-0.785***
					(0.0644)				(0.0391)
Constant	-0.363***	3.036***	-0.686***	3.177***	0.609***	4.941***	-0.224***	-0.438***	0.373***
	(0.0201)	(0.0313)	(0.0843)	(0.0313)	(0.0540)	(0.0552)	(0.0125)	(0.0553)	(0.0327)
									
Observations	2,771	2,771	2,771	2,771	2,771	2,771	2,771	2,771	2,771
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
